name;lat;long
École 1 de dionewar;13.858884899773953;-16.722522699999995
École Franco arabe de Dionware;13.884488299776878;-16.729323899999997
Jardin d'enfants;13.933533899782491;-16.7627163
École primaire Renoit Warnotte de Djifer;13.938495899783057;-16.761575499999996
École arabe Aita Malick Faye;13.934816399782639;-16.7622182
École Franco arabe;13.938195199783024;-16.7629756
École primaire de Falia;13.94267619978354;-16.716083799999996
École Arabe de Falia;13.92008549978095;-16.6794076
Centre d'éveil communautaire de falia;13.918624299780783;-16.6790104
Collège de mboundé;13.957947399785292;-16.656091300000003
École primaire Moundé;13.955987399785066;-16.6497279
École arabe;13.955619199785021;-16.649525
Ecole primaire de Siwo;13.909173299779704;-16.655903799999997
École élémentaire;13.908801199779658;-16.6557989
École franco arabe;13.907906099779558;-16.653415299999995
École élémentaire de Thialane;13.926242899781652;-16.621399
École Arabe de Thialane;13.926473899781682;-16.6219058
École primaire;13.920538099781;-16.609102699999998
Foyer socio culturel de Bassar;13.92097549978105;-16.610265899999998
École Arabe de Djirnda;13.979368799787752;-16.6098748
Établissement scolaire;13.98391169978827;-16.6061274
École primaire franco-arabe de Bassoul;13.929199599781994;-16.5918665
École primaire 2 de Bassoul;13.927788099781832;-16.590043800000004
École élémentaire de bassouk;13.924220099781424;-16.5928546
Abc learning centre;13.447802599727728;-16.7061984
Al-Salam Center Quaranic memorization center;13.432570399726043;-16.710666699999997
Charles Jaw Memorial Academy;13.417905799724426;-16.678956
Tallinding school;13.433476899726147;-16.6694237
St Theresa's School;13.446834299727621;-16.6760761
Ecole Française;13.469801399730164;-16.693688199999997
Banjul American International School (BAIS);13.477712199731043;-16.6839363
West African International School;13.466375199729786;-16.674765100000002
president international award skills;13.468764299730049;-16.6742991
Greater Banjul Upper Basic school;13.46406819972953;-16.6790111
Deeper Life Nursery School;13.452311399728227;-16.6816614
Management Development Institute;13.458258299728888;-16.676202499999995
إنشاء جامعة;13.239251999704871;-16.5068622
Lower Basic School;13.271102499708334;-16.531226599999997
Lower Basic School;13.183538399698843;-16.4908862
Busura Lower Basic School;13.189711299699512;-16.6290436
School Marang Beyai Kindergarden;13.272596799708495;-16.635913499999997
Lower Basic School;13.24883319970591;-16.6912472
Marakissa Lower Basic School;13.210602099701763;-16.6508987
Lower Basic School;13.224650599703287;-16.6652941
Darsalami Lower Basic School;13.17635129969807;-16.659286
Upper Basic School;13.188227499699348;-16.691003699999996
Lower Basic School;13.142789999694452;-16.743711199999996
Sambuya Skagen Basic Cycle School;13.207239599701403;-16.7756692
Seven Days Advantist SDA;13.230136899703886;-16.7573792
Lower Basic School;13.220848599702876;-16.7138529
Alhagi Musa Manneh Islamic;13.34244349971613;-16.7561173
NULL;13.310662599712648;-16.7513633
كلية الإمام البخاري -غامبيا;13.29061059971046;-16.7261996
School for Blinds;13.274639199708718;-16.641167
MingDaw Junior & Senior school;13.321679699713854;-16.665830499999995
